turbidez,B01,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A
17.5,0.0766993876960542,0.1011027859316931,0.1444376011689504,0.1496358894639545,0.1181170559591717,0.089838043683105,0.093929487797949,0.081917712257968,0.0689660761919286,0.0612602453264925,0.0869654632276958
19.0,0.0673923856682247,0.1008423252238167,0.1411110642883512,0.1478856305281321,0.1231870841648843,0.0971240293648507,0.1035801453722847,0.0834725954466396,0.0814857085545857,0.0697494720419247,0.093840115600162
20.0,0.0639967537588543,0.0932106011443668,0.1289819421039687,0.1377807673480775,0.116122205224302,0.0863975236813227,0.0912867859005928,0.0785254256592856,0.0646945817603005,0.0574305206537246,0.0819234326481819
21.0,0.0250164326280355,0.0421472742325729,0.0791383898920483,0.0827841121289465,0.0600551714499791,0.0218657594588067,0.020598157412476,0.0162528407656484,0.0002514765284205,3.1372816819283697e-05,0.0098099724079171
23.0,0.0294077245311604,0.0431601694888538,0.0803494594163364,0.0870367263754208,0.0665694433781835,0.0227315974318318,0.0216010248081551,0.0177646850546201,-0.0010821431642398,-0.0012017632729516,0.0099172421420613
23.5,0.0210701636970043,0.0334138356977038,0.0581709001627233,0.0663982373144891,0.056655139558845,0.0235769042952193,0.0226187869492504,0.018841725670629,0.001193274407544,0.0,0.0120079980956183
24.0,0.0400406488527853,0.0469905069718758,0.0801001990007028,0.0758322108950879,0.0555942437301079,0.0234462724895112,0.0245048135725988,0.017901685502794,0.0010788490277869,0.0003842514266175,0.0151654568293855
27.0,0.0258387256827619,0.0395071932839022,0.0749094966385099,0.0869133439328935,0.072615746822622,0.0276727732270956,0.0282461481789747,0.0219852185497681,-7.590931879046063e-05,0.0012974931030637,0.0129850782040092
29.0,0.0283927640153302,0.0434239212837484,0.081137989130285,0.0925170994467205,0.0721388260523478,0.0270008266799979,0.0245827159119976,0.0196502413600683,-0.0021240933177371,-0.0008402417879551,0.0127748135063383
29.5,0.0611619237396452,0.0784554400791724,0.1051279910736613,0.1187635064125061,0.0989028600354989,0.07204981168939,0.0752435206539101,0.0641418522767101,0.0481712561902693,0.0417468456758393,0.0664932922356658
